,Gen,genInt,line,sex,Group,Rep,scenario,strategy
445,25,4.05118212522733,dam,F,import,3,50_50,GenGen
446,26,4.97833935018051,dam,M,import,3,50_50,GenGen
447,25,5.87737074564822,sire,F,import,3,50_50,GenGen
448,26,7.96028880866426,sire,M,import,3,50_50,GenGen
449,26,4.06443232008314,dam,F,import,3,50_50,GenGen
450,27,4.97472924187726,dam,M,import,3,50_50,GenGen
451,26,5.97440893738633,sire,F,import,3,50_50,GenGen
452,27,8.14801444043321,sire,M,import,3,50_50,GenGen
453,27,4.13159262146012,dam,F,import,3,50_50,GenGen
454,28,5.03249097472924,dam,M,import,3,50_50,GenGen
455,27,5.88204728500909,sire,F,import,3,50_50,GenGen
456,28,8.04332129963899,sire,M,import,3,50_50,GenGen
457,28,4.11262665627436,dam,F,import,3,50_50,GenGen
458,29,4.95667870036101,dam,M,import,3,50_50,GenGen
459,28,5.79098467134321,sire,F,import,3,50_50,GenGen
460,29,7.92418772563177,sire,M,import,3,50_50,GenGen
461,29,4.12613665887244,dam,F,import,3,50_50,GenGen
462,30,4.985559566787,dam,M,import,3,50_50,GenGen
463,29,5.79488178747727,sire,F,import,3,50_50,GenGen
464,30,8,sire,M,import,3,50_50,GenGen
465,30,4.13211223694466,dam,F,import,3,50_50,GenGen
466,31,4.99638989169675,dam,M,import,3,50_50,GenGen
467,30,5.73044946739413,sire,F,import,3,50_50,GenGen
468,31,7.94584837545126,sire,M,import,3,50_50,GenGen
469,31,4.07989088074825,dam,F,import,3,50_50,GenGen
470,32,5.01083032490975,dam,M,import,3,50_50,GenGen
