,Category,EBVGen,Cor,Group,Scenario,Rep,Generation
0,Fathers,EBV56,0.6535453058064551,import,10_10,0,56
1,Female candidates,EBV56,0.3991360689133039,import,10_10,0,56
2,Male candidates,EBV56,0.7843781588954158,import,10_10,0,56
3,Mothers,EBV56,0.6539778713123129,import,10_10,0,56
0,Fathers,EBV57,0.6772935943557045,import,10_10,0,57
1,Female candidates,EBV57,0.4043075763560914,import,10_10,0,57
2,Male candidates,EBV57,0.7731664803287607,import,10_10,0,57
3,Mothers,EBV57,0.6585434352981792,import,10_10,0,57
0,Fathers,EBV58,0.6946300328987003,import,10_10,0,58
1,Female candidates,EBV58,0.41577814148792175,import,10_10,0,58
2,Male candidates,EBV58,0.7541239399277554,import,10_10,0,58
3,Mothers,EBV58,0.6532681317021235,import,10_10,0,58
0,Fathers,EBV59,0.7429383187354904,import,10_10,0,59
1,Female candidates,EBV59,0.4207654922814749,import,10_10,0,59
2,Male candidates,EBV59,0.7791489415200021,import,10_10,0,59
3,Mothers,EBV59,0.6465824412954453,import,10_10,0,59
0,Fathers,EBV60,0.7324441606929751,import,10_10,0,60
1,Female candidates,EBV60,0.40508655196113286,import,10_10,0,60
2,Male candidates,EBV60,0.794520203161519,import,10_10,0,60
3,Mothers,EBV60,0.6586493010537855,import,10_10,0,60
4,izl,EBV60,0.015539413779435894,import,10_10,0,60
0,Fathers,EBV21,-0.24679862301955144,home,50_50,0,21
1,Female candidates,EBV21,0.23129704355317862,home,50_50,0,21
2,Male candidates,EBV21,-0.21489356020908926,home,50_50,0,21
3,Male candidates1,EBV21,0.04255492065848936,home,50_50,0,21
4,Mothers,EBV21,0.44456758056524387,home,50_50,0,21
0,Fathers,EBV22,0.027295754614331272,home,50_50,0,22
1,Female candidates,EBV22,0.18829563079366643,home,50_50,0,22
2,Male candidates,EBV22,-0.4175634758023562,home,50_50,0,22
3,Male candidates1,EBV22,0.17797095373727037,home,50_50,0,22
4,Mothers,EBV22,0.44305491275323516,home,50_50,0,22
0,Fathers,EBV23,0.19259594028741603,home,50_50,0,23
1,Female candidates,EBV23,0.21242546742883703,home,50_50,0,23
2,Male candidates,EBV23,0.34669004576510193,home,50_50,0,23
3,Male candidates1,EBV23,0.2153292516552608,home,50_50,0,23
4,Mothers,EBV23,0.5010702610443747,home,50_50,0,23
0,Fathers,EBV24,0.535631228199004,home,50_50,0,24
1,Female candidates,EBV24,0.3665427451229353,home,50_50,0,24
2,Male candidates,EBV24,0.9448756248897929,home,50_50,0,24
3,Male candidates1,EBV24,-0.040433809317308195,home,50_50,0,24
4,Mothers,EBV24,0.6041993004924885,home,50_50,0,24
0,Fathers,EBV25,0.7951603241423951,home,50_50,0,25
