Strategy,Scenario,Group,Gen,Cat,Cor
ClassGen,100_100,home,41,Female candidates,0.16630521957317934
ClassGen,100_100,home,41,Male candidates,0.10694754534844332
ClassGen,100_100,home,41,Mothers,0.24766037326231752
ClassGen,100_100,home,42,Fathers,0.40417784797373585
ClassGen,100_100,home,42,Female candidates,0.2504435289851757
ClassGen,100_100,home,42,Male candidates,0.2472517568925792
ClassGen,100_100,home,42,Mothers,0.2909306731140236
ClassGen,100_100,home,43,Fathers,0.40240013798966684
ClassGen,100_100,home,43,Female candidates,0.2483823938898209
ClassGen,100_100,home,43,Male candidates,0.2286727371269693
ClassGen,100_100,home,43,Mothers,0.34624567552252056
ClassGen,100_100,home,44,Fathers,0.4116940909803227
ClassGen,100_100,home,44,Female candidates,0.2790386518086774
ClassGen,100_100,home,44,Male candidates,0.3198360976562918
ClassGen,100_100,home,44,Mothers,0.38136914189552334
ClassGen,100_100,home,45,Fathers,0.39061477061151606
ClassGen,100_100,home,45,Female candidates,0.2984473064735461
ClassGen,100_100,home,45,Male candidates,0.35415027225411105
ClassGen,100_100,home,45,Mothers,0.4020819942449054
ClassGen,100_100,home,46,Fathers,0.44119426277673685
ClassGen,100_100,home,46,Female candidates,0.29224593946555977
ClassGen,100_100,home,46,Male candidates,0.3049279074821604
ClassGen,100_100,home,46,Mothers,0.4139351421578158
ClassGen,100_100,home,47,Fathers,0.45963367828949925
ClassGen,100_100,home,47,Female candidates,0.28217182702208105
ClassGen,100_100,home,47,Male candidates,0.23489303979918896
ClassGen,100_100,home,47,Mothers,0.4283492597273002
ClassGen,100_100,home,48,Fathers,0.38764780845340907
ClassGen,100_100,home,48,Female candidates,0.2706663564322137
ClassGen,100_100,home,48,Male candidates,0.2286052329079997
ClassGen,100_100,home,48,Mothers,0.43705088912447926
ClassGen,100_100,home,49,Fathers,0.2399986269180082
ClassGen,100_100,home,49,Female candidates,0.2475955151171597
ClassGen,100_100,home,49,Male candidates,0.3124144684996679
ClassGen,100_100,home,49,Mothers,0.4570576995230317
ClassGen,100_100,home,50,Fathers,0.37882666962949
ClassGen,100_100,home,50,Female candidates,0.2344958642118967
ClassGen,100_100,home,50,Male candidates,0.3135927058524325
ClassGen,100_100,home,50,Mothers,0.46921624457108974
ClassGen,100_100,import,21,Fathers,-0.07318272505093446
ClassGen,100_100,import,21,Female candidates,0.03933311616034808
ClassGen,100_100,import,21,Male candidates,0.03847124030561002
ClassGen,100_100,import,21,Male candidates1,-0.07879778972412073
ClassGen,100_100,import,21,Mothers,0.1884914529450766
ClassGen,100_100,import,22,Fathers,-0.03643281017812089
ClassGen,100_100,import,22,Female candidates,0.08761966654494414
ClassGen,100_100,import,22,Male candidates,0.22023301924309324
ClassGen,100_100,import,22,Male candidates1,0.03624787827932
ClassGen,100_100,import,22,Mothers,0.27146346646010233
ClassGen,100_100,import,23,Fathers,-0.11673948664794921
ClassGen,100_100,import,23,Female candidates,0.14627344716450932
ClassGen,100_100,import,23,Male candidates,0.3237126525606833
ClassGen,100_100,import,23,Male candidates1,0.08787018467223483
ClassGen,100_100,import,23,Mothers,0.32852609109190367
ClassGen,100_100,import,24,Fathers,0.05075692565901577
ClassGen,100_100,import,24,Female candidates,0.23103802334619794
ClassGen,100_100,import,24,Male candidates,0.16015950800387446
ClassGen,100_100,import,24,Male candidates1,-0.0945700340340683
ClassGen,100_100,import,24,Mothers,0.337912270558776
ClassGen,100_100,import,25,Fathers,-0.23069426346276384
ClassGen,100_100,import,25,Female candidates,0.17450027514096125
ClassGen,100_100,import,25,Male candidates,0.5293524028502384
ClassGen,100_100,import,25,Male candidates1,0.0811022300849259
ClassGen,100_100,import,25,Mothers,0.2887390453858835
ClassGen,100_100,import,26,Fathers,0.05829308464482301
ClassGen,100_100,import,26,Female candidates,0.10472980364378234
ClassGen,100_100,import,26,Male candidates,0.14081670421583392
ClassGen,100_100,import,26,Male candidates1,-0.031735775490938964
ClassGen,100_100,import,26,Mothers,0.26298253701877256
ClassGen,100_100,import,27,Fathers,0.02272080302445461
ClassGen,100_100,import,27,Female candidates,0.06942815311400538
ClassGen,100_100,import,27,Male candidates,0.1350508970670882
ClassGen,100_100,import,27,Male candidates1,0.10834417640553556
ClassGen,100_100,import,27,Mothers,0.21827965568793883
ClassGen,100_100,import,28,Fathers,-0.12019870257051495
ClassGen,100_100,import,28,Female candidates,-0.02374791557707069
