,Category,EBVGen,Cor,Group,Trait,Scenario,Rep,Generation,Strategy
0,Fathers,EBV33,0.9094477798578522,home,3,0_0,0,33,ClassGen
1,Female candidates,EBV33,0.31667721964693857,home,3,0_0,0,33,ClassGen
2,Male candidates,EBV33,0.9388687954605925,home,3,0_0,0,33,ClassGen
3,Male candidates1,EBV33,0.25819819310067865,home,3,0_0,0,33,ClassGen
4,Mothers,EBV33,0.5243548508165371,home,3,0_0,0,33,ClassGen
0,Fathers,EBV34,0.9008429248010502,home,3,0_0,0,34,ClassGen
1,Female candidates,EBV34,0.3593894441660228,home,3,0_0,0,34,ClassGen
2,Male candidates,EBV34,0.8990488700256559,home,3,0_0,0,34,ClassGen
3,Male candidates1,EBV34,0.08225562357335052,home,3,0_0,0,34,ClassGen
4,Mothers,EBV34,0.5159121744693748,home,3,0_0,0,34,ClassGen
0,Fathers,EBV35,0.8164892959286796,home,3,0_0,0,35,ClassGen
1,Female candidates,EBV35,0.3608732959049876,home,3,0_0,0,35,ClassGen
2,Male candidates,EBV35,0.9340425844802377,home,3,0_0,0,35,ClassGen
3,Male candidates1,EBV35,0.3258291289511442,home,3,0_0,0,35,ClassGen
4,Mothers,EBV35,0.5212848941404553,home,3,0_0,0,35,ClassGen
0,Fathers,EBV36,0.8435255585607515,home,3,0_0,0,36,ClassGen
1,Female candidates,EBV36,0.32867531938678785,home,3,0_0,0,36,ClassGen
