Group,Strategy,Scenario,Generation,Category,Cor
home,ClassGen,10_10,21,Mothers,0.36048991539365927
home,ClassGen,10_10,22,Fathers,-0.08942309826752065
home,ClassGen,10_10,22,Female candidates,0.16176264041048602
home,ClassGen,10_10,22,Male candidates,-0.5411533817632173
home,ClassGen,10_10,22,Male candidates1,-0.026819479185389846
home,ClassGen,10_10,22,Mothers,0.42949245053976504
home,ClassGen,10_10,23,Fathers,-0.09879111529793212
home,ClassGen,10_10,23,Female candidates,0.188391758555272
home,ClassGen,10_10,23,Male candidates,-0.08311318741813584
home,ClassGen,10_10,23,Male candidates1,0.14445135388556668
home,ClassGen,10_10,23,Mothers,0.5247616359197896
home,ClassGen,10_10,24,Fathers,0.4397674905445568
home,ClassGen,10_10,24,Female candidates,0.36166825966009664
home,ClassGen,10_10,24,Male candidates,0.757053564714058
home,ClassGen,10_10,24,Male candidates1,0.06352729982719546
home,ClassGen,10_10,24,Mothers,0.5971257602756264
home,ClassGen,10_10,25,Fathers,0.1318251837196126
home,ClassGen,10_10,25,Female candidates,0.3543334696418799
home,ClassGen,10_10,25,Male candidates,0.9297340224888166
home,ClassGen,10_10,25,Male candidates1,0.20042618596763287
home,ClassGen,10_10,25,Mothers,0.6022245407450525
home,ClassGen,10_10,26,Fathers,0.6700815955323087
home,ClassGen,10_10,26,Female candidates,0.33572558015387444
home,ClassGen,10_10,26,Male candidates,0.9745239677184688
home,ClassGen,10_10,26,Male candidates1,0.32698164504317034
home,ClassGen,10_10,26,Mothers,0.5810886097747577
home,ClassGen,10_10,27,Fathers,0.8030170050571535
home,ClassGen,10_10,27,Female candidates,0.34298228229045385
home,ClassGen,10_10,27,Male candidates,0.9518731116017514
home,ClassGen,10_10,27,Male candidates1,0.31659668536070673
home,ClassGen,10_10,27,Mothers,0.5658348885717345
home,ClassGen,10_10,28,Fathers,0.7699338528039338
home,ClassGen,10_10,28,Female candidates,0.35411146119242587
home,ClassGen,10_10,28,Male candidates,0.8923729801596365
home,ClassGen,10_10,28,Male candidates1,0.2722187724172871
home,ClassGen,10_10,28,Mothers,0.569672781701278
home,ClassGen,10_10,29,Fathers,0.7404288131725894
home,ClassGen,10_10,29,Female candidates,0.3525753428518056
home,ClassGen,10_10,29,Male candidates,0.7533675323919543
home,ClassGen,10_10,29,Male candidates1,0.28742885607709784
home,ClassGen,10_10,29,Mothers,0.5543823833520616
home,ClassGen,10_10,30,Fathers,0.7628961752039929
home,ClassGen,10_10,30,Female candidates,0.3087342728597335
home,ClassGen,10_10,30,Male candidates,0.923842148177408
home,ClassGen,10_10,30,Male candidates1,0.24989936798910065
home,ClassGen,10_10,30,Mothers,0.5418788799891272
home,ClassGen,10_10,31,Fathers,0.793049985761767
home,ClassGen,10_10,31,Female candidates,0.30085967030552596
home,ClassGen,10_10,31,Male candidates,0.8889778227312953
home,ClassGen,10_10,31,Male candidates1,0.424745915399383
home,ClassGen,10_10,31,Mothers,0.5472082748353408
home,ClassGen,10_10,32,Fathers,0.9122294242812881
home,ClassGen,10_10,32,Female candidates,0.3002953271769183
home,ClassGen,10_10,32,Male candidates,0.9764568524700749
home,ClassGen,10_10,32,Male candidates1,0.18083115566842406
home,ClassGen,10_10,32,Mothers,0.5261248060798904
home,ClassGen,10_10,33,Fathers,0.9128865497937025
home,ClassGen,10_10,33,Female candidates,0.3615884304306892
